path,method,source,operationId,tags,summary,note
/api/keenkonnect/resources/{id}/,PATCH,openapi,keenkonnect_resources_partial_update,keenkonnect,,
/api/keenkonnect/resources/{id}/,PUT,openapi,keenkonnect_resources_update,keenkonnect,,
/api/keenkonnect/tags/,GET,openapi,keenkonnect_tags_list,keenkonnect,,
/api/keenkonnect/tags/,POST,openapi,keenkonnect_tags_create,keenkonnect,,
/api/keenkonnect/tags/{id}/,DELETE,openapi,keenkonnect_tags_destroy,keenkonnect,,
/api/keenkonnect/tags/{id}/,GET,openapi,keenkonnect_tags_retrieve,keenkonnect,,
/api/keenkonnect/tags/{id}/,PATCH,openapi,keenkonnect_tags_partial_update,keenkonnect,,
/api/keenkonnect/tags/{id}/,PUT,openapi,keenkonnect_tags_update,keenkonnect,,
/api/keenkonnect/tasks/,GET,openapi,keenkonnect_tasks_list,keenkonnect,,
/api/keenkonnect/tasks/,POST,openapi,keenkonnect_tasks_create,keenkonnect,,
/api/keenkonnect/tasks/{id}/,DELETE,openapi,keenkonnect_tasks_destroy,keenkonnect,,
/api/keenkonnect/tasks/{id}/,GET,openapi,keenkonnect_tasks_retrieve,keenkonnect,,
/api/keenkonnect/tasks/{id}/,PATCH,openapi,keenkonnect_tasks_partial_update,keenkonnect,,
/api/keenkonnect/tasks/{id}/,PUT,openapi,keenkonnect_tasks_update,keenkonnect,,
/api/keenkonnect/teams/,GET,openapi,keenkonnect_teams_list,keenkonnect,,
/api/keenkonnect/teams/,POST,openapi,keenkonnect_teams_create,keenkonnect,,
/api/keenkonnect/teams/my-teams/,GET,openapi,keenkonnect_teams_my_teams_retrieve,keenkonnect,,
/api/keenkonnect/teams/{id}/,DELETE,openapi,keenkonnect_teams_destroy,keenkonnect,,
/api/keenkonnect/teams/{id}/,GET,openapi,keenkonnect_teams_retrieve,keenkonnect,,
/api/keenkonnect/teams/{id}/,PATCH,openapi,keenkonnect_teams_partial_update,keenkonnect,,
/api/keenkonnect/teams/{id}/,PUT,openapi,keenkonnect_teams_update,keenkonnect,,
/api/kollective/vote-results/,GET,openapi,kollective_vote_results_list,kollective,,
/api/kollective/vote-results/{id}/,GET,openapi,kollective_vote_results_retrieve,kollective,,
/api/kollective/votes/,GET,openapi,kollective_votes_list,kollective,,
/api/kollective/votes/,POST,openapi,kollective_votes_create,kollective,,
/api/kollective/votes/{id}/,DELETE,openapi,kollective_votes_destroy,kollective,,
/api/kollective/votes/{id}/,GET,openapi,kollective_votes_retrieve,kollective,,
/api/kollective/votes/{id}/,PATCH,openapi,kollective_votes_partial_update,kollective,,
/api/kollective/votes/{id}/,PUT,openapi,kollective_votes_update,kollective,,
/api/konnected/certifications/evaluations/,GET,openapi,konnected_certifications_evaluations_list,konnected,,
/api/konnected/certifications/evaluations/,POST,openapi,konnected_certifications_evaluations_create,konnected,,
/api/konnected/certifications/evaluations/{id}/,DELETE,openapi,konnected_certifications_evaluations_destroy,konnected,,
/api/konnected/certifications/evaluations/{id}/,GET,openapi,konnected_certifications_evaluations_retrieve,konnected,,
/api/konnected/certifications/evaluations/{id}/,PATCH,openapi,konnected_certifications_evaluations_partial_update,konnected,,
/api/konnected/certifications/evaluations/{id}/,PUT,openapi,konnected_certifications_evaluations_update,konnected,,
/api/konnected/certifications/exam-attempts/,GET,openapi,konnected_certifications_exam_attempts_retrieve,konnected,,
/api/konnected/certifications/exam-attempts/me/,GET,openapi,konnected_certifications_exam_attempts_me_retrieve,konnected,,
/api/konnected/certifications/exam-attempts/{id}/,GET,openapi,konnected_certifications_exam_attempts_retrieve_2,konnected,,
/api/konnected/certifications/exam-attempts/{id}/appeal/,POST,openapi,konnected_certifications_exam_attempts_appeal_create,konnected,,
/api/konnected/certifications/exam-attempts/{id}/retry/,POST,openapi,konnected_certifications_exam_attempts_retry_create,konnected,,
/api/konnected/certifications/paths/,GET,openapi,konnected_certifications_paths_list,konnected,,
/api/konnected/certifications/paths/,POST,openapi,konnected_certifications_paths_create,konnected,,
/api/konnected/certifications/paths/{id}/,DELETE,openapi,konnected_certifications_paths_destroy,konnected,,
/api/konnected/certifications/paths/{id}/,GET,openapi,konnected_certifications_paths_retrieve,konnected,,
/api/konnected/certifications/paths/{id}/,PATCH,openapi,konnected_certifications_paths_partial_update,konnected,,
/api/konnected/certifications/paths/{id}/,PUT,openapi,konnected_certifications_paths_update,konnected,,
/api/konnected/certifications/paths/{id}/eligibility/,GET,openapi,konnected_certifications_paths_eligibility_retrieve,konnected,,
/api/konnected/certifications/paths/{id}/preparation-plan/,GET,openapi,konnected_certifications_paths_preparation_plan_retrieve,konnected,,
/api/konnected/certifications/paths/{id}/sessions/,GET,openapi,konnected_certifications_paths_sessions_retrieve,konnected,,
/api/konnected/certifications/peer-validations/,GET,openapi,konnected_certifications_peer_validations_list,konnected,,
/api/konnected/certifications/peer-validations/,POST,openapi,konnected_certifications_peer_validations_create,konnected,,
/api/konnected/certifications/peer-validations/{id}/,DELETE,openapi,konnected_certifications_peer_validations_destroy,konnected,,
/api/konnected/certifications/peer-validations/{id}/,GET,openapi,konnected_certifications_peer_validations_retrieve,konnected,,
/api/konnected/certifications/peer-validations/{id}/,PATCH,openapi,konnected_certifications_peer_validations_partial_update,konnected,,
/api/konnected/certifications/peer-validations/{id}/,PUT,openapi,konnected_certifications_peer_validations_update,konnected,,
/api/konnected/offline-packages/,GET,openapi,konnected_offline_packages_list,konnected,,
/api/konnected/offline-packages/,POST,openapi,konnected_offline_packages_create,konnected,,
/api/konnected/offline-packages/{id}/,DELETE,openapi,konnected_offline_packages_destroy,konnected,,
/api/konnected/offline-packages/{id}/,GET,openapi,konnected_offline_packages_retrieve,konnected,,
/api/konnected/offline-packages/{id}/,PATCH,openapi,konnected_offline_packages_partial_update,konnected,,
/api/konnected/offline-packages/{id}/,PUT,openapi,konnected_offline_packages_update,konnected,,
/api/konnected/offline-packages/{id}/sync/,POST,openapi,konnected_offline_packages_sync_create,konnected,,
/api/konnected/portfolios/,GET,openapi,konnected_portfolios_list,konnected,,
/api/konnected/portfolios/,POST,openapi,konnected_portfolios_create,konnected,,
/api/konnected/portfolios/{id}/,DELETE,openapi,konnected_portfolios_destroy,konnected,,
/api/konnected/portfolios/{id}/,GET,openapi,konnected_portfolios_retrieve,konnected,,
/api/konnected/portfolios/{id}/,PATCH,openapi,konnected_portfolios_partial_update,konnected,,
/api/konnected/portfolios/{id}/,PUT,openapi,konnected_portfolios_update,konnected,,
/api/konnected/resources/,GET,openapi,konnected_resources_list,konnected,,
/api/konnected/resources/,POST,openapi,konnected_resources_create,konnected,,
/api/konnected/resources/{id}/,DELETE,openapi,konnected_resources_destroy,konnected,,
/api/konnected/resources/{id}/,GET,openapi,konnected_resources_retrieve,konnected,,
/api/konnected/resources/{id}/,PATCH,openapi,konnected_resources_partial_update,konnected,,
/api/konnected/resources/{id}/,PUT,openapi,konnected_resources_update,konnected,,
/api/kreative/artworks/,GET,openapi,kreative_artworks_list,kreative,,
/api/kreative/artworks/,POST,openapi,kreative_artworks_create,kreative,,
/api/kreative/artworks/{id}/,DELETE,openapi,kreative_artworks_destroy,kreative,,
/api/kreative/artworks/{id}/,GET,openapi,kreative_artworks_retrieve,kreative,,
/api/kreative/artworks/{id}/,PATCH,openapi,kreative_artworks_partial_update,kreative,,
/api/kreative/artworks/{id}/,PUT,openapi,kreative_artworks_update,kreative,,
/api/kreative/collab-sessions/,GET,openapi,kreative_collab_sessions_list,kreative,,
/api/kreative/collab-sessions/,POST,openapi,kreative_collab_sessions_create,kreative,,
/api/kreative/collab-sessions/{id}/,DELETE,openapi,kreative_collab_sessions_destroy,kreative,,
/api/kreative/collab-sessions/{id}/,GET,openapi,kreative_collab_sessions_retrieve,kreative,,
/api/kreative/collab-sessions/{id}/,PATCH,openapi,kreative_collab_sessions_partial_update,kreative,,
/api/kreative/collab-sessions/{id}/,PUT,openapi,kreative_collab_sessions_update,kreative,,
/api/kreative/galleries/,GET,openapi,kreative_galleries_list,kreative,,
/api/kreative/galleries/,POST,openapi,kreative_galleries_create,kreative,,
/api/kreative/galleries/{id}/,DELETE,openapi,kreative_galleries_destroy,kreative,,
/api/kreative/galleries/{id}/,GET,openapi,kreative_galleries_retrieve,kreative,,
/api/kreative/galleries/{id}/,PATCH,openapi,kreative_galleries_partial_update,kreative,,
/api/kreative/galleries/{id}/,PUT,openapi,kreative_galleries_update,kreative,,
/api/kreative/tags/,GET,openapi,kreative_tags_list,kreative,,
/api/kreative/tags/,POST,openapi,kreative_tags_create,kreative,,
/api/kreative/tags/{id}/,DELETE,openapi,kreative_tags_destroy,kreative,,
/api/kreative/tags/{id}/,GET,openapi,kreative_tags_retrieve,kreative,,
/api/kreative/tags/{id}/,PATCH,openapi,kreative_tags_partial_update,kreative,,
/api/kreative/tags/{id}/,PUT,openapi,kreative_tags_update,kreative,,
/api/kreative/traditions/,GET,openapi,kreative_traditions_list,kreative,,
/api/kreative/traditions/,POST,openapi,kreative_traditions_create,kreative,,
/api/kreative/traditions/{id}/,DELETE,openapi,kreative_traditions_destroy,kreative,,
/api/kreative/traditions/{id}/,GET,openapi,kreative_traditions_retrieve,kreative,,
/api/kreative/traditions/{id}/,PATCH,openapi,kreative_traditions_partial_update,kreative,,
/api/kreative/traditions/{id}/,PUT,openapi,kreative_traditions_update,kreative,,
/api/projects/,GET,openapi,projects_list,projects,,
/api/projects/,POST,openapi,projects_create,projects,,
/api/projects/{id}/,DELETE,openapi,projects_destroy,projects,,
/api/projects/{id}/,GET,openapi,projects_retrieve,projects,,
/api/projects/{id}/,PATCH,openapi,projects_partial_update,projects,,
/api/projects/{id}/,PUT,openapi,projects_update,projects,,
/api/reports/perf/,GET,openapi,reports_perf_retrieve,reports,,
/api/reports/smart-vote/,GET,openapi,reports_smart_vote_retrieve,reports,,
/api/reports/usage/,GET,openapi,reports_usage_retrieve,reports,,
/api/schema/,GET,openapi,schema_retrieve,schema,,
/api/teambuilder/problems/,GET,openapi,teambuilder_problems_list,teambuilder,,
/api/teambuilder/problems/,POST,openapi,teambuilder_problems_create,teambuilder,,
/api/teambuilder/problems/{id}/,DELETE,openapi,teambuilder_problems_destroy,teambuilder,,
/api/teambuilder/problems/{id}/,GET,openapi,teambuilder_problems_retrieve,teambuilder,,
/api/teambuilder/problems/{id}/,PATCH,openapi,teambuilder_problems_partial_update,teambuilder,,
/api/teambuilder/problems/{id}/,PUT,openapi,teambuilder_problems_update,teambuilder,,
/api/teambuilder/sessions/,GET,openapi,teambuilder_sessions_list,teambuilder,,
/api/teambuilder/sessions/,POST,openapi,teambuilder_sessions_create,teambuilder,,
/api/teambuilder/sessions/{id}/,DELETE,openapi,teambuilder_sessions_destroy,teambuilder,,
/api/teambuilder/sessions/{id}/,GET,openapi,teambuilder_sessions_retrieve,teambuilder,,
/api/teambuilder/sessions/{id}/,PATCH,openapi,teambuilder_sessions_partial_update,teambuilder,,
/api/teambuilder/sessions/{id}/,PUT,openapi,teambuilder_sessions_update,teambuilder,,
/api/teambuilder/sessions/{id}/generate/,POST,openapi,teambuilder_sessions_generate_create,teambuilder,,
/api/teambuilder/teams/,GET,openapi,teambuilder_teams_list,teambuilder,,
/api/teambuilder/teams/{id}/,GET,openapi,teambuilder_teams_retrieve,teambuilder,,
/api/users/,GET,openapi,users_list,users,,
/api/users/me/,GET,openapi,users_me_retrieve,users,,
/api/users/{username}/,GET,openapi,users_retrieve,users,,
/api/users/{username}/,PATCH,openapi,users_partial_update,users,,
/api/users/{username}/,PUT,openapi,users_update,users,,
/api/v1/ekoh/profile/{uid}/,GET,openapi,v1_ekoh_profile_retrieve,v1,,
/api/v1/smart-vote/cast/,POST,openapi,v1_smart_vote_cast_create,v1,,
/api/v1/smart-vote/readings/ethikos-topic/{topic_id}/,GET,openapi,v1_smart_vote_readings_ethikos_topic_retrieve,v1,,
